id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,NA,US,US-GA,Atlanta,yes,KATL,ATL,ATL,http://www.atlanta-airport.com/,https://en.wikipedia.org/wiki/Hartsfieldâ€“Jackson_Atlanta_International_Airport,
3386,KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,542,NA,US,US-TX,Austin,yes,KAUS,AUS,AUS,http://www.ci.austin.tx.us/austinairport/,https://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,"BSM, KBSM, Bergstrom AFB"
3486,KDEN,large_airport,Denver International Airport,39.86169815,-104.6729965,5431,NA,US,US-CO,Denver,yes,KDEN,DEN,DEN,http://www.flydenver.com/,https://en.wikipedia.org/wiki/Denver_International_Airport,"DVX, KVDX"
3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,607,NA,US,US-TX,Dallas-Fort Worth,yes,KDFW,DFW,DFW,https://www.dfwairport.com/,https://en.wikipedia.org/wiki/Dallas/Fort_Worth_International_Airport,QDF
3604,KIAH,large_airport,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,97,NA,US,US-TX,Houston,yes,KIAH,IAH,IAH,http://www.fly2houston.com/iah,https://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport,QHO
3622,KJFK,large_airport,John F Kennedy International Airport,40.639447,-73.779317,13,NA,US,US-NY,New York,yes,KJFK,JFK,JFK,https://www.jfkairport.com/,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport,"Manhattan, New York City, NYC, Idlewild, IDL, KIDL"
3632,KLAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,125,NA,US,US-CA,Los Angeles,yes,KLAX,LAX,LAX,https://www.flylax.com/,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,Tom Bradley
3670,KMCO,large_airport,Orlando International Airport,28.42939949,-81.30899811,96,NA,US,US-FL,Orlando,yes,KMCO,MCO,MCO,http://www.orlandoairports.net/,https://en.wikipedia.org/wiki/Orlando_International_Airport,"Disney World,Epcot Center"
3685,KMIA,large_airport,Miami International Airport,25.79319954,-80.29060364,8,NA,US,US-FL,Miami,yes,KMIA,MIA,MIA,http://www.miami-airport.com/,https://en.wikipedia.org/wiki/Miami_International_Airport,"MFW, South Florida"
3754,KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,680,NA,US,US-IL,Chicago,yes,KORD,ORD,ORD,https://www.flychicago.com/ohare/home/pages/default.aspx,https://en.wikipedia.org/wiki/O'Hare_International_Airport,"CHI, Orchard Place"
3772,KPHX,large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,1135,NA,US,US-AZ,Phoenix,yes,KPHX,PHX,PHX,http://phoenix.gov/skyharborairport/,https://en.wikipedia.org/wiki/Phoenix_Sky_Harbor_International_Airport,
3875,KSEA,large_airport,Seattle-Tacoma International Airport,47.447943,-122.310276,433,NA,US,US-WA,Seattle,yes,KSEA,SEA,SEA,https://www.portseattle.org/sea-tac,https://en.wikipedia.org/wiki/Seattle%E2%80%93Tacoma_International_Airport,
3926,KTPA,large_airport,Tampa International Airport,27.9755,-82.533203,26,NA,US,US-FL,Tampa,yes,KTPA,TPA,TPA,https://www.tampaairport.com/,https://en.wikipedia.org/wiki/Tampa_International_Airport,
